iter	Logloss
0	0.6834337953
1	0.6730350282
2	0.6641902127
3	0.6563676121
4	0.6485833595
5	0.6416152012
6	0.6353195031
7	0.6288553475
8	0.6233643876
9	0.6189190395
10	0.6140151128
11	0.6087809478
12	0.6047227893
13	0.601079269
14	0.5983324195
15	0.595511556
16	0.5932054807
17	0.5899825904
18	0.586931011
19	0.5849680707
20	0.5833397627
21	0.5807228514
22	0.5789137598
23	0.5764274145
24	0.5731297113
25	0.5710532106
26	0.5694141173
27	0.5681740261
28	0.5668253393
29	0.5647249281
30	0.5633465101
31	0.5618630345
32	0.5610474539
33	0.5601878187
34	0.5594466515
35	0.558786175
36	0.5577503214
37	0.5566987177
38	0.5561131683
39	0.5549898903
40	0.5545648091
41	0.5536386925
42	0.552685584
43	0.5518625278
44	0.5511464124
45	0.5503704923
46	0.5498200381
47	0.5492057276
48	0.548317845
49	0.5474132421
50	0.54702474
51	0.546234953
52	0.5455788134
53	0.5451873439
54	0.5445214461
55	0.5438929834
56	0.5436110797
57	0.5429790789
58	0.5426414221
59	0.5420781853
60	0.5417468628
61	0.5415484459
62	0.5412644307
63	0.540758716
64	0.5404385783
65	0.5400695926
66	0.5394864399
67	0.5389398091
68	0.5387392808
69	0.5382542238
70	0.5376234213
71	0.5371686661
72	0.5369307599
73	0.5366445192
74	0.536247286
75	0.5357851122
76	0.5354792409
77	0.5353120389
78	0.5347518266
79	0.5344495504
80	0.5341408829
81	0.5337870766
82	0.5334203735
83	0.5332671525
84	0.5329764607
85	0.5326657959
86	0.5322415707
87	0.5319323326
88	0.5317191928
89	0.5314085851
90	0.5309286069
91	0.530553401
92	0.5299868544
93	0.5297289752
94	0.5294991153
95	0.5292185811
96	0.528915449
97	0.528709956
98	0.5282852172
99	0.5279658214
100	0.5276707355
101	0.5274322586
102	0.5272412032
103	0.5268830029
104	0.5266538847
105	0.5263892148
106	0.5261788142
107	0.5257994425
108	0.5256209986
109	0.525503786
110	0.5252954397
111	0.5250189001
112	0.5249188072
113	0.5248120946
114	0.5246743955
115	0.5244537801
116	0.5242215805
117	0.5239578806
118	0.523597683
119	0.5235051797
120	0.5233053362
121	0.5231150227
122	0.522727833
123	0.5225162911
124	0.5222346727
125	0.5220137149
126	0.5217893332
127	0.521367733
128	0.5211080849
129	0.5209702145
130	0.5208027843
131	0.5206036826
132	0.5204519453
133	0.5202875395
134	0.5199977607
135	0.5197781155
136	0.5195483697
137	0.5192734279
138	0.5191017748
139	0.5189508935
140	0.5188080014
141	0.5185502935
142	0.5183547299
143	0.5181821066
144	0.5179825484
145	0.5178043328
146	0.517593818
147	0.5172464601
148	0.517061796
149	0.5168117349
150	0.5167244246
151	0.5165460377
152	0.516334667
153	0.5161255218
154	0.5159957548
155	0.5158647894
156	0.5156069673
157	0.5153937705
158	0.5151830845
159	0.5149131645
160	0.5147755224
161	0.5146113449
162	0.5145138199
163	0.5144247977
164	0.5142859002
165	0.5142108019
166	0.5140682522
167	0.5139429363
168	0.5137664897
169	0.5135017056
170	0.5134244388
171	0.51324959
172	0.5128576639
173	0.5127788564
174	0.5125765021
175	0.5124703031
176	0.5123037859
177	0.5120111538
178	0.5119214468
179	0.5117564133
180	0.5115625616
181	0.5113453131
182	0.5111123146
183	0.5109043678
184	0.5107921198
185	0.5106749072
186	0.5105063356
187	0.5103693784
188	0.5101864263
189	0.5100983741
190	0.5099670663
191	0.5097546114
192	0.5096192519
193	0.5094210633
194	0.5092550597
195	0.5092063828
196	0.5090119034
197	0.5088562286
198	0.5086303062
199	0.508535235
200	0.5083857233
201	0.5082494508
202	0.5081252191
203	0.507991857
204	0.5078713916
205	0.5077650215
206	0.5076459257
207	0.5075379006
208	0.5073410246
209	0.5072259234
210	0.5070592349
211	0.5069287831
212	0.506790228
213	0.5065268135
214	0.5064409299
215	0.5063597256
216	0.5062345809
217	0.5061588549
218	0.5060084302
219	0.5058538396
220	0.5057285808
221	0.5056442379
222	0.5055104193
223	0.5053576548
224	0.5051969012
225	0.5049039267
226	0.5046874772
227	0.504593319
228	0.5044212665
229	0.5042563471
230	0.5040454899
231	0.5040005223
232	0.5038251028
233	0.5036857488
234	0.5035728161
235	0.5034215924
236	0.5033168772
237	0.503108588
238	0.5029534268
239	0.5027791486
240	0.5026808818
241	0.5025686339
242	0.5023787768
243	0.5023003117
244	0.5021770502
245	0.5019851958
246	0.5018574832
247	0.5017580179
248	0.5016003459
249	0.5015400847
250	0.5014147687
251	0.5012656565
252	0.5011577456
253	0.5009931686
254	0.5007615396
255	0.5006494058
256	0.5005169567
257	0.5003895293
258	0.5002255801
259	0.5000466796
260	0.4998954559
261	0.4997415502
262	0.4995426768
263	0.499423524
264	0.4992409143
265	0.4991090929
266	0.4989323038
267	0.4987268108
268	0.498619813
269	0.4985030569
270	0.4982996183
271	0.4980989758
272	0.4978921133
273	0.497681998
274	0.4976449054
275	0.4974357031
276	0.4972108649
277	0.4970153584
278	0.4968473004
279	0.4967379058
280	0.4965743559
281	0.4964598825
282	0.4963189877
283	0.4960433041
284	0.4958994989
285	0.4958069957
286	0.4957479899
287	0.4956303779
288	0.4954821216
289	0.4953905314
290	0.4952215604
291	0.4951103967
292	0.4949604285
293	0.4948200473
294	0.4947052314
295	0.494502021
296	0.4943484577
297	0.4942112721
298	0.494106671
299	0.4939012921
300	0.4937516663
301	0.4936011274
302	0.4934305585
303	0.4933468434
304	0.4931788425
305	0.4929244443
306	0.4927005192
307	0.4925942061
308	0.4924833277
309	0.49232246
310	0.4921734619
311	0.4920105968
312	0.4918072153
313	0.4916378448
314	0.491503113
315	0.4913015005
316	0.4911508475
317	0.4909348544
318	0.4907325001
319	0.4905177054
320	0.4903087885
321	0.4901044368
322	0.4899286179
323	0.4897755681
324	0.4895146645
325	0.4893346227
326	0.489164168
327	0.4889811588
328	0.4888172095
329	0.4886647304
330	0.4884764141
331	0.4882139697
332	0.4880125855
333	0.4878274649
334	0.4876093033
335	0.4873986744
336	0.4871942657
337	0.4870140527
338	0.4868273914
339	0.4866704611
340	0.4865183244
341	0.4863153423
342	0.4862086298
343	0.4860615148
344	0.4858297146
345	0.4856580615
346	0.4853673126
347	0.4851575967
348	0.4849966719
349	0.4848393993
350	0.4846506836
351	0.4845340987
352	0.484338421
353	0.4841482786
354	0.4839470085
355	0.4837940729
356	0.4835981098
357	0.4834068832
358	0.4832221621
359	0.4830154707
360	0.4828274968
361	0.4827001265
362	0.4825219109
363	0.4824076086
364	0.4822533605
365	0.4821088135
366	0.4819046901
367	0.4817369744
368	0.4816256967
369	0.4813727822
370	0.4812540859
371	0.4810650848
372	0.4807816974
373	0.4806283052
374	0.4804355949
375	0.4802929882
376	0.4801263568
377	0.4799794701
378	0.4798131811
379	0.4796762239
380	0.4794833423
381	0.4792970804
382	0.4791613786
383	0.4789474399
384	0.478773333
385	0.4786219952
386	0.4784885759
387	0.4783043969
388	0.4781849302
389	0.4779929047
390	0.4778298685
391	0.4776759913
392	0.4775228559
393	0.4773068628
394	0.4771341255
395	0.4770226765
396	0.4768701403
397	0.4766329759
398	0.4764030018
399	0.4762129736
400	0.4760577839
401	0.4759077586
402	0.4757127371
403	0.4755474468
404	0.4753470612
405	0.4751368032
406	0.4749536514
407	0.4748372377
408	0.4746496347
409	0.4744345262
410	0.4742932034
411	0.4741302528
412	0.4738999933
413	0.4737323063
414	0.473558342
415	0.4733460297
416	0.4732164053
417	0.4729773863
418	0.4727905823
419	0.4726145351
420	0.4724226237
421	0.4722841256
422	0.4721634891
423	0.4719929773
424	0.4718077996
425	0.4715523743
426	0.4713783244
427	0.4712193684
428	0.4710591283
429	0.4707496905
430	0.4705865116
431	0.4704459306
432	0.4703085168
433	0.4701000279
434	0.4699572785
435	0.469779662
436	0.4696475267
437	0.4694517634
438	0.4693101553
439	0.4691181868
440	0.4689287578
441	0.468776992
442	0.4685220232
443	0.4684079207
444	0.4682569538
445	0.4681303539
446	0.4679556478
447	0.4677917555
448	0.467672888
449	0.46752486
450	0.4673664461
451	0.4671937658
452	0.4670445394
453	0.4668435546
454	0.4666554666
455	0.4664983081
456	0.4663178669
457	0.4660930002
458	0.4658941553
459	0.4657635894
460	0.4655906523
461	0.465437631
462	0.4652674045
463	0.4650847948
464	0.4649048672
465	0.4647110726
466	0.4645991956
467	0.4644450046
468	0.4642528364
469	0.4640844931
470	0.4638885015
471	0.4636436047
472	0.4635366069
473	0.4633997066
474	0.463251964
475	0.4631190869
476	0.4629784203
477	0.4627786624
478	0.4626258409
479	0.4624904815
480	0.462341626
481	0.4622191348
482	0.4620761001
483	0.4619791743
484	0.4618216449
485	0.4616441996
486	0.4615193973
487	0.4614110298
488	0.4613249464
489	0.4611887881
490	0.4610417587
491	0.4608738719
492	0.4606991373
493	0.4605170982
494	0.4604493614
495	0.4602798197
496	0.4601759034
497	0.4600772941
498	0.4599627351
499	0.4598068606
500	0.459666194
501	0.459424122
502	0.4592903604
503	0.459123729
504	0.4589727051
505	0.4588303266
506	0.4586758217
507	0.4584837391
508	0.4583147395
509	0.4581756993
510	0.4580155734
511	0.4578803852
512	0.457746167
513	0.4576117206
514	0.4574199804
515	0.4572159997
516	0.4570850628
517	0.4569647116
518	0.4568220477
519	0.4567004411
520	0.4565875084
521	0.4564526625
522	0.4563191577
523	0.4561224243
524	0.4559212397
525	0.4557828844
526	0.4556565413
527	0.4555355909
528	0.4553518113
529	0.4552655853
530	0.4551506553
531	0.4549689586
532	0.4548580232
533	0.4546651417
534	0.4545441628
535	0.4543678303
536	0.4541311795
537	0.4539672873
538	0.4537851912
539	0.4535684848
540	0.4534091008
541	0.4531841484
542	0.4529953186
543	0.4528306845
544	0.452735756
545	0.4526623697
546	0.4524680045
547	0.4523196341
548	0.4521565693
549	0.4519715914
550	0.4518095253
551	0.4516341914
552	0.4514751213
553	0.4513434996
554	0.4511338408
555	0.451017741
556	0.4509019836
557	0.4508155007
558	0.4506582281
559	0.4504506808
560	0.4502960902
561	0.4501870095
562	0.4500543321
563	0.4499011967
564	0.4497438671
565	0.4495632546
566	0.4494006749
567	0.4492546728
568	0.4491117521
569	0.4489628681
570	0.4488174937
571	0.4487213097
572	0.4485463468
573	0.4484448272
574	0.4482679241
575	0.4481004367
576	0.4479679876
577	0.447821586
578	0.4476651979
579	0.4475962627
580	0.4474654114
581	0.4473852344
582	0.4472658533
583	0.4471429056
584	0.4470003273
585	0.4468810318
586	0.4466787916
587	0.4465348723
588	0.4463733483
589	0.4462435527
590	0.4460852815
591	0.4459102615
592	0.4457519332
593	0.4456287001
594	0.4454721408
595	0.4452883898
596	0.4450942529
597	0.4449407751
598	0.444768694
599	0.4445612322
600	0.4443962843
601	0.4443381631
602	0.4442120768
603	0.4440584278
604	0.4438903698
605	0.4437614873
606	0.4436155993
607	0.4434614082
608	0.4433082443
609	0.4432128022
610	0.4430301639
611	0.4428903819
612	0.4427691176
613	0.4426506496
614	0.4425191421
615	0.4423446071
616	0.442216923
617	0.4420794236
618	0.4419601851
619	0.4418433149
620	0.4417288985
621	0.4415677455
622	0.4415006079
623	0.4413431355
624	0.4411987312
625	0.4409992301
626	0.4408839577
627	0.4407246593
628	0.4405684138
629	0.4404345951
630	0.4402773225
631	0.4401444454
632	0.4399734485
633	0.4398338662
634	0.4396483177
635	0.4394770925
636	0.4393509206
637	0.4392706294
638	0.4391859156
639	0.4390097829
640	0.438906266
641	0.4387836321
642	0.4386254465
643	0.4384982474
644	0.438396414
645	0.4382498697
646	0.4380776459
647	0.4379255662
648	0.437834775
649	0.4377397038
650	0.4376148729
651	0.4374420214
652	0.4373123115
653	0.4371723582
654	0.4370955195
655	0.4369408719
656	0.4368307925
657	0.4366544885
